outgoing_site_id,Start_Time_MM_DD_YYYY,Start_Time_HH_MM_SS_s,Weather,Total Calls,Traffic,lat,long,Call Dropped
1717,20170108,12:00 to 16:00,Fog,326,Medium,12.974193,77.60121,38
1717,20170108,16:00 to 20:00,Fog,406,Low,12.974193,77.60121,20
1717,20170108,20:00 to 23:59,Fog,593,High,12.974193,77.60121,64
1717,20170109,00:00 to 4:00,Smoke,527,High,12.974193,77.60121,52
1717,20170109,4:00 to 8:00,Shallow Fog,306,Medium,12.974193,77.60121,46
1717,20170109,8:00 to 12:00,Shallow Fog,605,Medium,12.974193,77.60121,34
1717,20170109,12:00 to 16:00,Fog,300,Low,12.974193,77.60121,15
1717,20170109,16:00 to 20:00,Fog,498,High,12.974193,77.60121,63
1717,20170109,20:00 to 23:59,Fog,337,Low,12.974193,77.60121,15
1717,20170110,00:00 to 4:00,Scattered Clouds,605,Low,12.974193,77.60121,25
1717,20170110,8:00 to 12:00,Shallow Fog,611,Low,12.974193,77.60121,25
1717,20170110,12:00 to 16:00,Fog,550,Medium,12.974193,77.60121,32
1717,20170110,16:00 to 20:00,Fog,612,Medium,12.974193,77.60121,51
1717,20170110,20:00 to 23:59,Fog,356,Low,12.974193,77.60121,18
1717,20170111,00:00 to 4:00,Smoke,576,Medium,12.974193,77.60121,45
1717,20170111,4:00 to 8:00,Smoke,585,High,12.974193,77.60121,58
1717,20170111,8:00 to 12:00,Fog,323,High,12.974193,77.60121,62
1717,20170111,12:00 to 16:00,Fog,454,High,12.974193,77.60121,53
1717,20170111,16:00 to 20:00,Fog,358,Low,12.974193,77.60121,24
1717,20170111,20:00 to 23:59,Fog,395,Medium,12.974193,77.60121,32
1717,20170112,00:00 to 4:00,Smoke,594,Medium,12.974193,77.60121,29
1717,20170112,4:00 to 8:00,Smoke,284,Medium,12.974193,77.60121,43
1717,20170112,8:00 to 12:00,Smoke,285,Medium,12.974193,77.60121,39
1717,20170112,12:00 to 16:00,Shallow Fog,642,High,12.974193,77.60121,64
1717,20170112,16:00 to 20:00,Fog,315,Low,12.974193,77.60121,24
1717,20170112,20:00 to 23:59,Fog,543,Medium,12.974193,77.60121,38
1717,20170113,00:00 to 4:00,Smoke,361,Medium,12.974193,77.60121,38
1717,20170113,4:00 to 8:00,Smoke,429,Medium,12.974193,77.60121,35
1717,20170113,8:00 to 12:00,Clear,274,Low,12.974193,77.60121,21
1717,20170113,12:00 to 16:00,Shallow Fog,619,Medium,12.974193,77.60121,31
1717,20170113,16:00 to 20:00,Shallow Fog,500,High,12.974193,77.60121,62
1717,20170113,20:00 to 23:59,Clear,338,High,12.974193,77.60121,52
1717,20170114,00:00 to 4:00,Smoke,279,Low,12.974193,77.60121,16
1717,20170114,4:00 to 8:00,Clear,443,High,12.974193,77.60121,59
1717,20170114,8:00 to 12:00,Shallow Fog,377,High,12.974193,77.60121,62
1717,20170114,12:00 to 16:00,Shallow Fog,413,Medium,12.974193,77.60121,41
1717,20170114,16:00 to 20:00,Shallow Fog,377,Low,12.974193,77.60121,13
1717,20170114,20:00 to 23:59,Fog,352,Medium,12.974193,77.60121,31
1717,20170115,00:00 to 4:00,Smoke,509,High,12.974193,77.60121,62
1717,20170115,4:00 to 8:00,Smoke,487,Medium,12.974193,77.60121,29
1717,20170115,8:00 to 12:00,Shallow Fog,410,Medium,12.974193,77.60121,45
1717,20170115,12:00 to 16:00,Fog,360,High,12.974193,77.60121,56
1717,20170115,16:00 to 20:00,Fog,622,Medium,12.974193,77.60121,50
1717,20170115,20:00 to 23:59,Fog,611,Medium,12.974193,77.60121,43
1717,20170116,00:00 to 4:00,Smoke,326,Low,12.974193,77.60121,17
1717,20170116,4:00 to 8:00,Shallow Fog,352,Medium,12.974193,77.60121,33
1717,20170116,8:00 to 12:00,Clear,241,Low,12.974193,77.60121,20
1717,20170116,12:00 to 16:00,Fog,367,Medium,12.974193,77.60121,27
1717,20170116,16:00 to 20:00,Fog,472,High,12.974193,77.60121,58
1717,20170116,20:00 to 23:59,Fog,635,High,12.974193,77.60121,53
1717,20170117,4:00 to 8:00,Shallow Fog,322,Low,12.974193,77.60121,19
1717,20170117,8:00 to 12:00,Fog,432,Medium,12.974193,77.60121,39
1717,20170117,12:00 to 16:00,Fog,551,Low,12.974193,77.60121,24
1717,20170117,16:00 to 20:00,Fog,505,Low,12.974193,77.60121,15
1717,20170117,20:00 to 23:59,Fog,579,Low,12.974193,77.60121,23
1717,20170118,00:00 to 4:00,Shallow Fog,374,Medium,12.974193,77.60121,40
1717,20170118,4:00 to 8:00,Shallow Fog,624,High,12.974193,77.60121,54
1717,20170118,8:00 to 12:00,Shallow Fog,617,High,12.974193,77.60121,64
1717,20170118,12:00 to 16:00,Fog,512,Medium,12.974193,77.60121,37
1717,20170118,16:00 to 20:00,Fog,455,High,12.974193,77.60121,56
1717,20170118,20:00 to 23:59,Fog,610,Low,12.974193,77.60121,19
1717,20170119,00:00 to 4:00,Clear,532,High,12.974193,77.60121,54
1717,20170119,4:00 to 8:00,Shallow Fog,548,High,12.974193,77.60121,59
1717,20170119,8:00 to 12:00,Shallow Fog,448,Medium,12.974193,77.60121,26
1717,20170119,12:00 to 16:00,Fog,534,Medium,12.974193,77.60121,45
1717,20170119,16:00 to 20:00,Fog,540,Medium,12.974193,77.60121,40
1717,20170119,20:00 to 23:59,Fog,540,High,12.974193,77.60121,56
1717,20170120,00:00 to 4:00,Smoke,516,Medium,12.974193,77.60121,50
1717,20170120,4:00 to 8:00,Shallow Fog,259,Low,12.974193,77.60121,23
1717,20170120,8:00 to 12:00,Shallow Fog,515,Medium,12.974193,77.60121,34
1717,20170120,12:00 to 16:00,Shallow Fog,450,Medium,12.974193,77.60121,35
1717,20170120,16:00 to 20:00,Fog,423,Low,12.974193,77.60121,17
1717,20170120,20:00 to 23:59,Fog,362,Medium,12.974193,77.60121,31
1717,20170121,00:00 to 4:00,Smoke,272,Medium,12.974193,77.60121,32
1717,20170121,4:00 to 8:00,Smoke,457,Medium,12.974193,77.60121,37
1717,20170121,8:00 to 12:00,Smoke,432,High,12.974193,77.60121,58
1717,20170121,12:00 to 16:00,Clear,517,Low,12.974193,77.60121,14
1717,20170121,16:00 to 20:00,Shallow Fog,418,Low,12.974193,77.60121,25
1717,20170121,20:00 to 23:59,Fog,280,Medium,12.974193,77.60121,31
1717,20170122,00:00 to 4:00,Haze,459,Medium,12.974193,77.60121,38
1717,20170122,4:00 to 8:00,Smoke,527,High,12.974193,77.60121,58
1717,20170122,8:00 to 12:00,Smoke,312,High,12.974193,77.60121,60
1717,20170122,12:00 to 16:00,Smoke,256,Medium,12.974193,77.60121,44
1717,20170122,16:00 to 20:00,Shallow Fog,420,Medium,12.974193,77.60121,34
1717,20170122,20:00 to 23:59,Fog,298,Medium,12.974193,77.60121,42
1717,20170123,00:00 to 4:00,Haze,572,Medium,12.974193,77.60121,52
1717,20170123,4:00 to 8:00,Smoke,363,Medium,12.974193,77.60121,26
1717,20170123,8:00 to 12:00,Smoke,570,High,12.974193,77.60121,60
1717,20170123,12:00 to 16:00,Shallow Fog,237,Medium,12.974193,77.60121,36
1717,20170123,16:00 to 20:00,Fog,347,High,12.974193,77.60121,62
1717,20170123,20:00 to 23:59,Fog,578,Medium,12.974193,77.60121,50
1717,20170124,00:00 to 4:00,Haze,549,High,12.974193,77.60121,58
1717,20170124,4:00 to 8:00,Smoke,608,Medium,12.974193,77.60121,45
1717,20170124,8:00 to 12:00,Smoke,440,High,12.974193,77.60121,56
1717,20170124,12:00 to 16:00,Smoke,472,Medium,12.974193,77.60121,46
1717,20170124,16:00 to 20:00,Clear,392,Medium,12.974193,77.60121,40
1717,20170124,20:00 to 23:59,Shallow Fog,632,Low,12.974193,77.60121,16
1717,20170125,00:00 to 4:00,Haze,291,Medium,12.974193,77.60121,51
1717,20170125,4:00 to 8:00,Smoke,399,Medium,12.974193,77.60121,45
1717,20170125,8:00 to 12:00,Smoke,533,Medium,12.974193,77.60121,51
1717,20170125,12:00 to 16:00,Smoke,556,Low,12.974193,77.60121,18
1717,20170125,16:00 to 20:00,Smoke,397,High,12.974193,77.60121,63
1717,20170125,20:00 to 23:59,Shallow Fog,385,Medium,12.974193,77.60121,29
1717,20170126,00:00 to 4:00,Haze,573,Medium,12.974193,77.60121,31
1717,20170126,4:00 to 8:00,Haze,469,High,12.974193,77.60121,64
1717,20170126,8:00 to 12:00,Smoke,400,Low,12.974193,77.60121,13
1717,20170126,12:00 to 16:00,Smoke,551,Medium,12.974193,77.60121,36
1717,20170126,16:00 to 20:00,Smoke,255,Medium,12.974193,77.60121,48
1717,20170126,20:00 to 23:59,Shallow Fog,325,Medium,12.974193,77.60121,35
1717,20170127,00:00 to 4:00,Haze,463,Medium,12.974193,77.60121,32
1717,20170127,4:00 to 8:00,Rain,453,Medium,12.974193,77.60121,28
1717,20170127,8:00 to 12:00,Haze,567,Medium,12.974193,77.60121,36
1717,20170127,12:00 to 16:00,Smoke,494,Medium,12.974193,77.60121,49
1717,20170127,16:00 to 20:00,Smoke,638,Low,12.974193,77.60121,19
1717,20170127,20:00 to 23:59,Smoke,436,Medium,12.974193,77.60121,32
1717,20170128,00:00 to 4:00,Haze,578,High,12.974193,77.60121,63
1717,20170128,4:00 to 8:00,Haze,454,Medium,12.974193,77.60121,50
1717,20170128,8:00 to 12:00,Haze,310,Medium,12.974193,77.60121,35
1717,20170128,12:00 to 16:00,Haze,422,Low,12.974193,77.60121,21
1717,20170128,16:00 to 20:00,Partly Cloudy,443,High,12.974193,77.60121,53
1717,20170128,20:00 to 23:59,Partly Cloudy,348,Medium,12.974193,77.60121,51
1717,20170129,00:00 to 4:00,Smoke,589,Medium,12.974193,77.60121,45
1717,20170129,4:00 to 8:00,Smoke,620,High,12.974193,77.60121,65
1717,20170129,8:00 to 12:00,Smoke,559,Low,12.974193,77.60121,16
1717,20170129,12:00 to 16:00,Shallow Fog,585,Medium,12.974193,77.60121,51
1717,20170129,16:00 to 20:00,Shallow Fog,565,Medium,12.974193,77.60121,40
1717,20170129,20:00 to 23:59,Fog,265,Medium,12.974193,77.60121,52
1717,20170130,00:00 to 4:00,Haze,402,High,12.974193,77.60121,52
1717,20170130,4:00 to 8:00,Smoke,330,Medium,12.974193,77.60121,51
1717,20170130,8:00 to 12:00,Haze,338,Medium,12.974193,77.60121,48
1717,20170130,12:00 to 16:00,Haze,363,Low,12.974193,77.60121,16
1717,20170130,16:00 to 20:00,Light Thunderstorms and Rain,618,High,12.974193,77.60121,60
1717,20170130,20:00 to 23:59,Haze,295,Low,12.974193,77.60121,20
1717,20170131,00:00 to 4:00,Light Rain,438,Medium,12.974193,77.60121,36
1717,20170131,4:00 to 8:00,Light Drizzle,241,Low,12.974193,77.60121,20
1717,20170131,8:00 to 12:00,Drizzle,422,Medium,12.974193,77.60121,31
1717,20170131,12:00 to 16:00,Drizzle,610,Medium,12.974193,77.60121,47
1717,20170101,00:00 to 4:00,Smoke,499,Low,12.974193,77.60121,16
1717,20170101,4:00 to 8:00,Shallow Fog,554,Medium,12.974193,77.60121,44
1717,20170101,8:00 to 12:00,Shallow Fog,301,Low,12.974193,77.60121,17
1717,20170101,12:00 to 16:00,Fog,514,Low,12.974193,77.60121,16
1717,20170101,16:00 to 20:00,Fog,262,Low,12.974193,77.60121,14
1717,20170101,20:00 to 23:59,Fog,587,Low,12.974193,77.60121,15
1717,20170102,00:00 to 4:00,Partly Cloudy,576,High,12.974193,77.60121,57
1717,20170102,4:00 to 8:00,Shallow Fog,544,Low,12.974193,77.60121,16
1717,20170102,8:00 to 12:00,Fog,247,Medium,12.974193,77.60121,46
1717,20170102,12:00 to 16:00,Fog,378,Medium,12.974193,77.60121,37
1717,20170102,16:00 to 20:00,Fog,327,Low,12.974193,77.60121,17
1717,20170102,20:00 to 23:59,Fog,642,Low,12.974193,77.60121,15
1717,20170103,00:00 to 4:00,Shallow Fog,278,Medium,12.974193,77.60121,50
1717,20170103,4:00 to 8:00,Shallow Fog,315,Medium,12.974193,77.60121,43
1717,20170103,8:00 to 12:00,Smoke,422,High,12.974193,77.60121,60
1717,20170103,12:00 to 16:00,Mostly Cloudy,626,Medium,12.974193,77.60121,44
1717,20170103,16:00 to 20:00,Mostly Cloudy,502,High,12.974193,77.60121,60
1717,20170103,20:00 to 23:59,Shallow Fog,320,High,12.974193,77.60121,63
1717,20170104,00:00 to 4:00,Smoke,439,Medium,12.974193,77.60121,38
1717,20170104,4:00 to 8:00,Shallow Fog,496,Medium,12.974193,77.60121,51
1717,20170104,8:00 to 12:00,Fog,616,High,12.974193,77.60121,64
1717,20170104,12:00 to 16:00,Shallow Fog,466,Medium,12.974193,77.60121,34
1717,20170105,4:00 to 8:00,Volcanic Ash,509,Medium,12.974193,77.60121,43
1717,20170106,16:00 to 20:00,Fog,581,Medium,12.974193,77.60121,39
1717,20170106,20:00 to 23:59,Fog,389,High,12.974193,77.60121,59
1717,20170107,00:00 to 4:00,Shallow Fog,396,Medium,12.974193,77.60121,32
1717,20170107,4:00 to 8:00,Shallow Fog,532,Medium,12.974193,77.60121,31
1717,20170107,8:00 to 12:00,Shallow Fog,540,Medium,12.974193,77.60121,29
1717,20170107,12:00 to 16:00,Shallow Fog,335,Low,12.974193,77.60121,22
1717,20170107,16:00 to 20:00,Shallow Fog,387,Medium,12.974193,77.60121,27
1717,20170107,20:00 to 23:59,Shallow Fog,642,Low,12.974193,77.60121,19
1717,20170108,00:00 to 4:00,Smoke,343,High,12.974193,77.60121,57
1717,20170108,4:00 to 8:00,Shallow Fog,437,Medium,12.974193,77.60121,27
1717,20170108,8:00 to 12:00,Shallow Fog,344,Low,12.974193,77.60121,22
1717,20170108,12:00 to 16:00,Fog,326,Medium,12.974193,77.60121,38
1717,20170108,16:00 to 20:00,Fog,406,Low,12.974193,77.60121,20
1717,20170108,20:00 to 23:59,Fog,593,High,12.974193,77.60121,64
1717,20170109,00:00 to 4:00,Smoke,527,High,12.974193,77.60121,52
1717,20170109,4:00 to 8:00,Shallow Fog,306,Medium,12.974193,77.60121,46
1717,20170109,8:00 to 12:00,Shallow Fog,605,Medium,12.974193,77.60121,34
1717,20170109,12:00 to 16:00,Fog,300,Low,12.974193,77.60121,15
1717,20170109,16:00 to 20:00,Fog,498,High,12.974193,77.60121,63
1717,20170109,20:00 to 23:59,Fog,337,Low,12.974193,77.60121,15
1717,20170110,00:00 to 4:00,Scattered Clouds,605,Low,12.974193,77.60121,25
1717,20170110,8:00 to 12:00,Shallow Fog,611,Low,12.974193,77.60121,25
1717,20170110,12:00 to 16:00,Fog,550,Medium,12.974193,77.60121,32
1717,20170110,16:00 to 20:00,Fog,612,Medium,12.974193,77.60121,51
1717,20170110,20:00 to 23:59,Fog,356,Low,12.974193,77.60121,18
1717,20170111,00:00 to 4:00,Smoke,576,Medium,12.974193,77.60121,45
1717,20170111,4:00 to 8:00,Smoke,585,High,12.974193,77.60121,58
1717,20170111,8:00 to 12:00,Fog,323,High,12.974193,77.60121,62
1717,20170111,12:00 to 16:00,Fog,454,High,12.974193,77.60121,53
1717,20170111,16:00 to 20:00,Fog,358,Low,12.974193,77.60121,24
1717,20170111,20:00 to 23:59,Fog,395,Medium,12.974193,77.60121,32
1717,20170112,00:00 to 4:00,Smoke,594,Medium,12.974193,77.60121,29
1717,20170112,4:00 to 8:00,Smoke,284,Medium,12.974193,77.60121,43
1717,20170112,8:00 to 12:00,Smoke,285,Medium,12.974193,77.60121,39
1717,20170112,12:00 to 16:00,Shallow Fog,642,High,12.974193,77.60121,64
1717,20170112,16:00 to 20:00,Fog,315,Low,12.974193,77.60121,24
1717,20170112,20:00 to 23:59,Fog,543,Medium,12.974193,77.60121,38
1717,20170113,00:00 to 4:00,Smoke,361,Medium,12.974193,77.60121,38
1717,20170113,4:00 to 8:00,Smoke,429,Medium,12.974193,77.60121,35
1717,20170113,8:00 to 12:00,Clear,274,Low,12.974193,77.60121,21
1717,20170113,12:00 to 16:00,Shallow Fog,619,Medium,12.974193,77.60121,31
1717,20170113,16:00 to 20:00,Shallow Fog,500,High,12.974193,77.60121,62
1717,20170113,20:00 to 23:59,Clear,338,High,12.974193,77.60121,52
1717,20170114,00:00 to 4:00,Smoke,279,Low,12.974193,77.60121,16
1717,20170114,4:00 to 8:00,Clear,443,High,12.974193,77.60121,59
1717,20170114,8:00 to 12:00,Shallow Fog,377,High,12.974193,77.60121,62
1717,20170114,12:00 to 16:00,Shallow Fog,413,Medium,12.974193,77.60121,41
1717,20170114,16:00 to 20:00,Shallow Fog,377,Low,12.974193,77.60121,13
1717,20170114,20:00 to 23:59,Fog,352,Medium,12.974193,77.60121,31
1717,20170115,00:00 to 4:00,Smoke,509,High,12.974193,77.60121,62
1717,20170115,4:00 to 8:00,Smoke,487,Medium,12.974193,77.60121,29
1717,20170115,8:00 to 12:00,Shallow Fog,410,Medium,12.974193,77.60121,45
1717,20170115,12:00 to 16:00,Fog,360,High,12.974193,77.60121,56
1717,20170115,16:00 to 20:00,Fog,622,Medium,12.974193,77.60121,50
1717,20170115,20:00 to 23:59,Fog,611,Medium,12.974193,77.60121,43
1717,20170116,00:00 to 4:00,Smoke,326,Low,12.974193,77.60121,17
1717,20170116,4:00 to 8:00,Shallow Fog,352,Medium,12.974193,77.60121,33
1717,20170116,8:00 to 12:00,Clear,241,Low,12.974193,77.60121,20
1717,20170116,12:00 to 16:00,Fog,367,Medium,12.974193,77.60121,27
1717,20170116,16:00 to 20:00,Fog,472,High,12.974193,77.60121,58
1717,20170116,20:00 to 23:59,Fog,635,High,12.974193,77.60121,53
1717,20170117,4:00 to 8:00,Shallow Fog,322,Low,12.974193,77.60121,19
1717,20170117,8:00 to 12:00,Fog,432,Medium,12.974193,77.60121,39
1717,20170117,12:00 to 16:00,Fog,551,Low,12.974193,77.60121,24
1717,20170117,16:00 to 20:00,Fog,505,Low,12.974193,77.60121,15
1717,20170117,20:00 to 23:59,Fog,579,Low,12.974193,77.60121,23
1717,20170118,00:00 to 4:00,Shallow Fog,374,Medium,12.974193,77.60121,40
1717,20170118,4:00 to 8:00,Shallow Fog,624,High,12.974193,77.60121,54
1717,20170118,8:00 to 12:00,Shallow Fog,617,High,12.974193,77.60121,64
1717,20170118,12:00 to 16:00,Fog,512,Medium,12.974193,77.60121,37
1717,20170118,16:00 to 20:00,Fog,455,High,12.974193,77.60121,56
1717,20170118,20:00 to 23:59,Fog,610,Low,12.974193,77.60121,19
1717,20170119,00:00 to 4:00,Clear,532,High,12.974193,77.60121,54
1717,20170119,4:00 to 8:00,Shallow Fog,548,High,12.974193,77.60121,59
1717,20170119,8:00 to 12:00,Shallow Fog,448,Medium,12.974193,77.60121,26
1717,20170119,12:00 to 16:00,Fog,534,Medium,12.974193,77.60121,45
1717,20170119,16:00 to 20:00,Fog,540,Medium,12.974193,77.60121,40
1717,20170119,20:00 to 23:59,Fog,540,High,12.974193,77.60121,56
1717,20170120,00:00 to 4:00,Smoke,516,Medium,12.974193,77.60121,50
1717,20170120,4:00 to 8:00,Shallow Fog,259,Low,12.974193,77.60121,23
1717,20170120,8:00 to 12:00,Shallow Fog,515,Medium,12.974193,77.60121,34
1717,20170120,12:00 to 16:00,Shallow Fog,450,Medium,12.974193,77.60121,35
1717,20170120,16:00 to 20:00,Fog,423,Low,12.974193,77.60121,17
1717,20170120,20:00 to 23:59,Fog,362,Medium,12.974193,77.60121,31
1717,20170121,00:00 to 4:00,Smoke,272,Medium,12.974193,77.60121,32
1717,20170121,4:00 to 8:00,Smoke,457,Medium,12.974193,77.60121,37
1717,20170121,8:00 to 12:00,Smoke,432,High,12.974193,77.60121,58
1717,20170121,12:00 to 16:00,Clear,517,Low,12.974193,77.60121,14
1717,20170121,16:00 to 20:00,Shallow Fog,418,Low,12.974193,77.60121,25
1717,20170121,20:00 to 23:59,Fog,280,Medium,12.974193,77.60121,31
1717,20170122,00:00 to 4:00,Haze,459,Medium,12.974193,77.60121,38
1717,20170122,4:00 to 8:00,Smoke,527,High,12.974193,77.60121,58
1717,20170122,8:00 to 12:00,Smoke,312,High,12.974193,77.60121,60
1717,20170122,12:00 to 16:00,Smoke,256,Medium,12.974193,77.60121,44
1717,20170122,16:00 to 20:00,Shallow Fog,420,Medium,12.974193,77.60121,34
1717,20170122,20:00 to 23:59,Fog,298,Medium,12.974193,77.60121,42
1717,20170123,00:00 to 4:00,Haze,572,Medium,12.974193,77.60121,52
1717,20170123,4:00 to 8:00,Smoke,363,Medium,12.974193,77.60121,26
1717,20170123,8:00 to 12:00,Smoke,570,High,12.974193,77.60121,60
1717,20170123,12:00 to 16:00,Shallow Fog,237,Medium,12.974193,77.60121,36
1717,20170123,16:00 to 20:00,Fog,347,High,12.974193,77.60121,62
1717,20170123,20:00 to 23:59,Fog,578,Medium,12.974193,77.60121,50
1717,20170124,00:00 to 4:00,Haze,549,High,12.974193,77.60121,58
1717,20170124,4:00 to 8:00,Smoke,608,Medium,12.974193,77.60121,45
1717,20170124,8:00 to 12:00,Smoke,440,High,12.974193,77.60121,56
1717,20170124,12:00 to 16:00,Smoke,472,Medium,12.974193,77.60121,46
1717,20170124,16:00 to 20:00,Clear,392,Medium,12.974193,77.60121,40
1717,20170124,20:00 to 23:59,Shallow Fog,632,Low,12.974193,77.60121,16
1717,20170125,00:00 to 4:00,Haze,291,Medium,12.974193,77.60121,51
1717,20170125,4:00 to 8:00,Smoke,399,Medium,12.974193,77.60121,45
1717,20170125,8:00 to 12:00,Smoke,533,Medium,12.974193,77.60121,51
1717,20170125,12:00 to 16:00,Smoke,556,Low,12.974193,77.60121,18
1717,20170125,16:00 to 20:00,Smoke,397,High,12.974193,77.60121,63
1717,20170125,20:00 to 23:59,Shallow Fog,385,Medium,12.974193,77.60121,29
1717,20170126,00:00 to 4:00,Haze,573,Medium,12.974193,77.60121,31
1717,20170126,4:00 to 8:00,Haze,469,High,12.974193,77.60121,64
1717,20170126,8:00 to 12:00,Smoke,400,Low,12.974193,77.60121,13
1717,20170126,12:00 to 16:00,Smoke,551,Medium,12.974193,77.60121,36
1717,20170126,16:00 to 20:00,Smoke,255,Medium,12.974193,77.60121,48
1717,20170126,20:00 to 23:59,Shallow Fog,325,Medium,12.974193,77.60121,35
1717,20170127,00:00 to 4:00,Haze,463,Medium,12.974193,77.60121,32
1717,20170127,4:00 to 8:00,Rain,453,Medium,12.974193,77.60121,28
1717,20170127,8:00 to 12:00,Haze,567,Medium,12.974193,77.60121,36
1717,20170127,12:00 to 16:00,Smoke,494,Medium,12.974193,77.60121,49
1717,20170127,16:00 to 20:00,Smoke,638,Low,12.974193,77.60121,19
1717,20170127,20:00 to 23:59,Smoke,436,Medium,12.974193,77.60121,32
1717,20170128,00:00 to 4:00,Haze,578,High,12.974193,77.60121,63
1717,20170128,4:00 to 8:00,Haze,454,Medium,12.974193,77.60121,50
1717,20170128,8:00 to 12:00,Haze,310,Medium,12.974193,77.60121,35
1717,20170128,12:00 to 16:00,Haze,422,Low,12.974193,77.60121,21
1717,20170128,16:00 to 20:00,Partly Cloudy,443,High,12.974193,77.60121,53
1717,20170128,20:00 to 23:59,Partly Cloudy,348,Medium,12.974193,77.60121,51
1717,20170129,00:00 to 4:00,Smoke,589,Medium,12.974193,77.60121,45
1717,20170129,4:00 to 8:00,Smoke,620,High,12.974193,77.60121,65
1717,20170129,8:00 to 12:00,Smoke,559,Low,12.974193,77.60121,16
1717,20170129,12:00 to 16:00,Shallow Fog,585,Medium,12.974193,77.60121,51
1717,20170129,16:00 to 20:00,Shallow Fog,565,Medium,12.974193,77.60121,40
1717,20170129,20:00 to 23:59,Fog,265,Medium,12.974193,77.60121,52
1717,20170130,00:00 to 4:00,Haze,402,High,12.974193,77.60121,52
1717,20170130,4:00 to 8:00,Smoke,330,Medium,12.974193,77.60121,51
1717,20170130,8:00 to 12:00,Haze,338,Medium,12.974193,77.60121,48
1717,20170130,12:00 to 16:00,Haze,363,Low,12.974193,77.60121,16
1717,20170130,16:00 to 20:00,Light Thunderstorms and Rain,618,High,12.974193,77.60121,60
1717,20170130,20:00 to 23:59,Haze,295,Low,12.974193,77.60121,20
1717,20170131,00:00 to 4:00,Light Rain,438,Medium,12.974193,77.60121,36
1717,20170131,4:00 to 8:00,Light Drizzle,241,Low,12.974193,77.60121,20
1717,20170131,8:00 to 12:00,Drizzle,422,Medium,12.974193,77.60121,31
1717,20170131,12:00 to 16:00,Drizzle,610,Medium,12.974193,77.60121,47
1717,20170101,00:00 to 4:00,Smoke,499,Low,12.974193,77.60121,16
1717,20170101,4:00 to 8:00,Shallow Fog,554,Medium,12.974193,77.60121,44
1717,20170101,8:00 to 12:00,Shallow Fog,301,Low,12.974193,77.60121,17
1717,20170101,12:00 to 16:00,Fog,514,Low,12.974193,77.60121,16
1717,20170101,16:00 to 20:00,Fog,262,Low,12.974193,77.60121,14
