date,time,outgoing_site_id,incoming_site_id,total number_of_calls,total call duration (min)
20170112,6:30,21106,26368506,603,545
20170112,7:30,21106,43032,609,321
20170112,8:30,21106,26366934,539,249
20170112,9:30,21106,26366575,132,390
20170112,10:30,21106,26366935,193,596
20170112,11:30,21106,26366575,581,545
20170112,12:30,21106,26366035,386,464
20170112,13:30,21106,26366035,531,630
20170112,14:30,21106,39043,280,598
20170112,15:30,21106,27233,491,528
20170112,16:30,21106,26366334,157,246
20170112,17:30,21106,20693,143,627
20170112,18:30,21106,20691,154,284
20170112,19:30,21106,26366255,498,315
20170112,20:30,21106,26366703,317,528
20170112,21:30,21106,26366254,306,490
20170112,22:30,21106,26366705,233,308
20170112,23:30,21106,26366774,193,519
20170113,0:30,21106,26365615,327,331
20170113,1:30,21106,26366144,153,271
20170113,2:30,21106,26366285,233,313
20170113,3:30,21106,26366145,184,339
20170113,4:30,21106,26368967,558,536
20170113,5:30,21106,26365474,530,577
20170113,6:30,21106,26366524,279,405
20170113,7:30,21106,26366523,243,410
20170113,8:30,21106,26366525,445,394
20170113,9:30,21106,26365854,216,268
20170113,10:30,21106,26366505,293,315
20170113,11:30,21106,26366503,278,451
20170113,12:30,21106,26366284,581,343
20170113,13:30,21106,26365853,569,457
20170113,14:30,21106,26367094,240,566
20170113,15:30,21106,26365855,304,544
20170113,16:30,21106,26366274,491,324
20170113,17:30,21106,26366273,499,512
20170113,18:30,21106,26366913,349,595
20170113,19:30,21106,26365724,630,336
20170113,20:30,21106,26365725,327,312
20170113,21:30,21106,26366993,335,260
20170113,22:30,21106,26365835,530,261
20170113,23:30,21106,26365705,380,577
20170114,0:30,21106,26366475,506,584
20170114,1:30,21106,26366345,271,599
20170114,2:30,21106,26367004,477,233
20170114,3:30,21106,26369618,382,242
20170114,4:30,21106,26365565,276,524
20170114,5:30,21106,26365563,359,560
20170114,7:30,21106,46431,630,378
20170114,8:30,21106,43033,564,373
20170114,9:30,21106,26368427,215,364
20170114,10:30,21106,26366784,347,342
20170114,11:30,21106,26368426,214,553
20170114,12:30,21106,26366827,207,251
20170114,13:30,21106,26366826,198,396
20170114,14:30,21106,26368337,252,272
20170114,15:30,21106,26368928,170,615
20170114,16:30,21106,40363,212,581
20170114,17:30,21106,49781,313,608
20170114,18:30,21106,47091,621,385
20170114,19:30,21106,42311,566,489
20170114,20:30,21106,44881,416,300
20170114,21:30,21106,40311,372,363
20170114,22:30,21106,42912,257,480
20170114,23:30,21106,42911,243,252
20170115,0:30,21106,42913,478,304
20170115,1:30,21106,59942,436,268
20170115,1:50,21106,42682,635,484
20170115,2:30,21106,45532,323,528
20170115,3:30,21106,40911,250,576
20170115,4:30,21106,29513,163,615
20170115,5:30,21106,44272,222,346
20170115,6:30,21106,44271,216,232
20170115,7:30,21106,26359543,431,522
20170115,8:30,21106,26359484,282,608
20170115,9:30,21106,45322,582,266
20170115,10:30,21106,47963,503,523
20170115,11:30,21106,45152,548,416
20170115,12:30,21106,2582,572,548
20170115,13:30,21106,263,281,295
20170115,14:30,21106,2572,292,603
20170115,15:30,21106,31051,574,619
20170115,16:30,21106,262,607,291
20170115,17:30,21106,31052,295,374
20170115,19:30,21106,31052,640,317
20170115,20:30,21106,21292,444,365
20170115,21:30,21106,2583,352,306
20170115,22:30,21106,2783,442,294
20170116,0:30,21106,2781,242,548
20170116,1:30,21106,13188233,156,266
20170116,1:50,21106,802,288,436
20170116,2:30,21106,311,273,645
20170116,3:30,21106,3143,402,343
20170116,4:30,21106,6073,377,632
20170116,5:30,21106,312,532,528
20170116,6:30,21106,50021,240,239
20170116,7:30,21106,1893,342,373
20170116,8:30,21106,6113,157,642
20170116,9:30,21106,1891,363,410
20170116,10:30,21106,42061,647,436
20170116,11:30,21106,6072,503,559
20170116,12:30,21106,8752,240,351
20170116,13:30,21106,50023,504,560
20170116,14:30,21106,813,224,585
20170116,15:30,21106,8003,272,649
20170116,16:30,21106,2691,328,544
20170116,17:30,21106,2612,329,618
20170116,18:30,21106,5002,205,506
20170116,19:30,21106,2363,541,397
20170116,20:30,21106,6781,381,520
20170116,21:30,21106,6782,617,424
20170116,22:30,21106,1881,150,309
20170116,23:30,21106,6783,164,577
20170117,0:30,21106,1102,256,382
20170117,1:30,21106,2692,173,418
20170117,2:30,21106,21603,475,254
20170117,3:30,21106,21961,587,326
20170117,4:30,21106,2813,490,311
20170117,5:30,21106,2361,381,462
20170117,6:30,21106,2741,247,624
20170117,7:30,21106,2833,135,258
20170117,9:30,21106,22142,550,355
20170117,10:21,21106,2362,588,611
20170117,11:30,21106,2831,411,430
20170117,12:30,21106,21833,546,230
20170117,13:30,21106,2832,627,610
20170117,14:30,21106,2582,437,320
20170117,15:30,21106,261,418,260
20170117,16:30,21106,2782,627,270
20170117,17:30,21106,21282,556,434
20170117,18:30,21106,2302,447,380
20170117,19:30,21106,2302,528,471
20170117,20:30,21106,22001,331,362
20170117,21:30,21106,31523,333,631
20170117,22:30,21106,31522,443,302
20170117,23:30,21106,31442,223,369
20170118,0:30,21106,2733,262,540
20170118,1:30,21106,31442,430,646
20170118,2:30,21106,1643,374,551
20170118,3:30,21106,2731,524,285
20170118,4:30,21106,1723,304,443
20170118,5:30,21106,2732,195,291
20170118,6:30,21106,2282,598,596
20170118,7:30,21106,6112,563,257
20170118,8:30,21106,8413,450,273
20170118,9:30,21106,801,140,390
20170118,10:30,21106,8413,482,473
20170118,11:30,21106,8412,568,402
20170118,12:30,21106,6111,473,598
20170118,13:30,21106,2462,442,397
20170118,14:30,21106,8411,288,374
20170118,15:30,21106,8752,324,457
20170118,16:30,21106,2463,296,384
20170118,17:30,21106,2461,383,242
20170118,18:30,21106,30303,372,542
20170118,19:30,21106,30322,436,351
20170118,21:30,21106,30321,526,631
20170118,22:30,21106,30231,181,577
20170118,23:30,21106,30211,467,408
20170119,0:30,21106,30251,592,519
20170119,1:30,21106,8081,242,258
20170119,2:30,21106,30302,370,573
20170119,3:30,21106,30313,356,293
20170119,4:30,21106,30223,249,338
20170119,5:30,21106,30371,526,461
20170119,6:30,21106,30212,345,592
20170119,7:30,21106,30372,514,471
20170119,8:30,21106,30232,173,230
20170119,9:30,21106,30213,562,252
20170119,10:30,21106,30261,203,649
20170119,11:30,21106,30222,339,575
20170119,12:30,21106,3132,419,543
20170119,13:30,21106,1183,488,428
20170119,14:30,21106,8333,486,581
20170119,15:30,21106,8332,410,279
20170119,16:30,21106,673,285,364
20170119,17:30,21106,3102,343,632
20170119,18:30,21106,7962,602,487
20170119,19:30,21106,7901,539,455
20170119,20:30,21106,30432,354,364
20170119,21:30,21106,30362,220,532
20170119,22:30,21106,1071,360,543
20170119,23:30,21106,30361,428,303
20170120,0:30,21106,30423,205,450
20170120,1:30,21106,8381,262,497
20170120,2:30,21106,1182,354,455
20170120,3:30,21106,3103,622,625
20170120,4:30,21106,1181,503,499
20170120,5:30,21106,1181,336,239
20170120,5:50,21106,30423,210,309
20170120,6:30,21106,8382,222,596
20170120,7:30,21106,3113,378,428
20170120,8:30,21106,8383,605,409
20170120,9:30,21106,1543,643,591
20170120,10:30,21106,8383,266,443
20170120,11:30,21106,7961,558,548
20170120,12:30,21106,7963,504,497
20170120,13:30,21106,3111,353,412
20170120,14:30,21106,3112,383,438
20170120,15:30,21106,1542,160,331
20170120,16:30,21106,6061,496,512
20170120,17:30,21106,47342,604,389
20170120,18:30,21106,50022,525,491
20170120,19:30,21106,30243,537,384
20170120,20:30,21106,8001,643,581
20170120,22:30,21106,1633,449,414
20170121,0:30,21106,30242,282,309
20170121,1:30,21106,30241,492,590
20170121,2:30,21106,30323,155,629
20170121,3:30,21106,30273,261,328
20170121,4:30,21106,58532,533,471
20170121,5:30,21106,23722,294,273
20170121,6:30,21106,22803,605,417
20170121,7:30,21106,48801,314,603
20170121,8:30,21106,19737520,201,617
20170121,9:30,21106,13187875,502,297
20170121,10:30,21106,13187874,289,442
20170121,11:30,21106,31781,391,410
20170121,12:30,21106,2931981,307,332
20170121,13:30,21106,10253,497,259
20170121,14:30,21106,20592,636,363
20170121,15:30,21106,10711,239,267
20170121,16:30,21106,3502,212,638
20170121,17:30,21106,7712,174,542
20170121,18:30,21106,903,400,233
20170121,19:30,21106,7652,479,398
20170121,20:30,21106,7592,538,381
20170121,21:30,21106,128703,469,359
20170121,22:30,21106,20961,409,408
20170121,23:30,21106,19727127,493,256
20170122,0:30,21106,20491,593,567
20170122,1:30,21106,58411,257,647
20170122,2:30,21106,28702,550,412
20170122,3:30,21106,28231,635,510
20170122,4:30,21106,19182,312,645
20170122,5:30,21106,19181,366,317
20170122,6:30,21106,24851,486,324
20170122,7:30,21106,24851,523,259
20170122,8:30,21106,59961,422,418
20170122,9:30,21106,55461,231,446
20170122,10:30,21106,28043,266,288
20170122,11:30,21106,53411,155,246
20170122,12:30,21106,31451,202,565
20170122,13:30,21106,2871,365,583
20170122,14:30,21106,57053,267,632
20170122,15:30,21106,15288,138,457
20170122,16:30,21106,54322,218,403
20170122,17:30,21106,15288,459,609
20170122,18:30,21106,34273,236,532
20170122,19:30,21106,85983,401,540
20170122,20:30,21106,30891,459,456
20170122,21:30,21106,10232,314,645
20170122,22:30,21106,53531,143,573
20170122,23:30,21106,13632,644,292
20170123,2:30,21106,33003,647,352
20170123,3:30,21106,32991,507,643
20170123,4:30,21106,32993,315,239
20170123,5:30,21106,36261,381,602
20170123,6:30,21106,53891,379,517
20170123,7:30,21106,25241,378,512
20170123,8:30,21106,30252,183,271
20170123,9:30,21106,25153,161,329
20170123,10:30,21106,25152,513,507
20170123,11:30,21106,17293,489,249
20170123,12:30,21106,23283,509,376
20170123,13:30,21106,21311,405,586
20170123,14:30,21106,44812,385,273
20170123,15:30,21106,27212,418,522
20170123,16:30,21106,13131,145,571
20170123,17:30,21106,21221,601,647
20170123,18:30,21106,13113,163,361
20170123,19:30,21106,13112,549,356
20170123,20:30,21106,30282,514,504
20170123,21:30,21106,12483,503,411
20170123,22:30,21106,30292,516,457
20170123,23:30,21106,26323,621,544
20170124,0:30,21106,32992,193,319
20170124,1:30,21106,19052,598,282
20170124,2:30,21106,35403455,166,285
20170124,3:30,21106,35403460,126,488
20170124,4:30,21106,30471,209,459
20170124,5:30,21106,44532,579,315
20170124,6:30,21106,23893,495,608
20170124,7:30,21106,27042,145,623
20170124,8:21,21106,21753,225,484
20170124,9:30,21106,21932,198,504
20170124,10:30,21106,45773,148,465
20170124,11:30,21106,45122,313,589
20170124,12:30,21106,24651,476,600
20170124,13:30,21106,21753,533,542
20170124,14:30,21106,24632,246,509
20170124,15:30,21106,16812,229,550
20170124,16:30,21106,24633,614,287
20170124,17:30,21106,16813,265,511
20170124,18:30,21106,16811,418,280
20170124,19:30,21106,35683,621,364
20170124,20:30,21106,21751,490,335
20170124,21:30,21106,21752,191,331
20170124,22:30,21106,24631,519,547
20170124,23:30,21106,14132,337,411
20170125,0:30,21106,14131,560,252
20170125,1:30,21106,17891,139,317
20170125,2:30,21106,17893,308,489
20170125,3:30,21106,33598,129,465
20170125,4:30,21106,40621,546,584
20170125,5:30,21106,40632,180,378
20170125,6:30,21106,40563,579,549
20170125,7:30,21106,40642,345,471
20170125,8:30,21106,40623,579,388
20170125,9:30,21106,40631,483,277
20170125,10:30,21106,40622,136,542
20170125,11:30,21106,40611,273,473
20170125,12:30,21106,40481,248,629
20170125,13:30,21106,40512,228,279
20170125,14:30,21106,40561,251,428
20170125,15:30,21106,40462,442,316
20170125,16:30,21106,40331,573,339
20170125,17:30,21106,40321,494,529
20170125,18:30,21106,40432,626,421
20170125,19:30,21106,40582,564,596
20170125,20:30,21106,40542,443,445
20170125,21:30,21106,40482,441,265
20170125,22:30,21106,40991,557,613
20170125,23:30,21106,40971,359,241
20170126,0:30,21106,40591,547,396
20170126,1:30,21106,43533,128,267
20170126,2:30,21106,40392,592,393
20170126,3:30,21106,262915172,234,368
20170126,4:30,21106,262894783,625,477
20170126,5:30,21106,22771,603,412
20170126,6:30,21106,22773,414,240
20170126,7:30,21106,23511,291,563
20170126,8:30,21106,23513,520,609
20170126,9:30,21106,22801,407,554
20170126,10:30,21106,22772,133,361
20170126,11:30,21106,22422,558,515
20170126,12:30,21106,47431,179,275
20170126,13:30,21106,41503,318,457
20170126,14:30,21106,22392,169,417
20170126,15:30,21106,22391,280,544
20170126,16:30,21106,23843,232,427
20170126,17:30,21106,23841,363,459
20170126,18:30,21106,41501,156,265
20170126,19:30,21106,41502,171,647
20170126,20:30,21106,31971,595,481
20170126,21:30,21106,58522,128,455
20170126,22:30,21106,58822,182,465
20170126,23:30,21106,47373,211,611
20170127,0:30,21106,47343,473,362
20170127,1:30,21106,26290557,193,456
20170127,2:30,21106,26290559,480,246
20170127,3:30,21106,23963,549,404
20170127,4:30,21106,25952,432,302
20170127,5:30,21106,37043,291,330
20170127,6:30,21106,27043,126,437
20170127,7:30,21106,24023,576,411
20170127,8:30,21106,32860333,574,420
20170127,9:30,21106,40952,459,468
20170127,10:30,21106,46623,146,641
20170127,11:30,21106,32053,444,448
20170127,12:30,21106,11882,128,413
20170127,13:30,21106,32042,395,627
20170127,14:30,21106,32041,176,303
20170127,15:30,21106,48742,318,300
20170127,16:30,21106,48741,536,540
20170127,17:30,21106,48743,384,438
20170127,18:30,21106,14753,305,312
20170127,19:30,21106,14752,210,517
20170127,20:30,21106,48733,255,590
20170127,21:30,21106,48732,490,594
20170127,22:30,21106,48731,331,490
20170127,23:30,21106,15933,320,371
20170128,0:30,21106,15931,407,443
20170128,1:30,21106,12353,569,577
20170128,2:30,21106,12352,372,570
20170128,3:30,21106,12283,129,298
20170128,4:30,21106,11463,636,341
20170128,5:30,21106,47233,264,425
20170128,6:30,21106,47231,516,484
20170128,7:30,21106,11461,238,567
20170128,8:21,21106,19881,522,516
20170128,9:30,21106,19893,399,367
20170128,10:30,21106,19891,633,486
20170128,11:30,21106,11451,469,465
20170128,12:30,21106,11453,133,542
20170128,13:30,21106,11452,136,539
20170128,14:30,21106,63942,353,472
20170128,15:30,21106,19901,482,235
20170128,16:30,21106,11602,161,482
20170128,17:30,21106,19923,435,245
20170128,18:30,21106,22073,632,511
20170128,19:30,21106,13131,150,453
20170128,20:30,21106,22003,201,349
20170128,21:30,21106,37606,416,552
20170128,22:30,21106,23273,524,384
20170128,23:30,21106,23301,365,494
20170129,0:30,21106,23293,200,314
20170129,1:30,21106,37765,293,528
20170129,2:30,21106,233823,232,264
20170129,3:30,21106,37471,451,455
20170129,4:30,21106,17471,267,534
20170129,6:30,21106,144459,466,358
20170129,7:30,21106,34992,635,272
20170129,8:30,21106,13324106,273,526
20170129,9:30,21106,48253,527,443
20170129,10:30,21106,34853,206,641
20170129,11:30,21106,34993,571,241
20170129,12:30,21106,41581,284,490
20170129,13:30,21106,35341,505,584
20170129,14:30,21106,30412,548,521
20170129,15:30,21106,35173,449,604
20170129,16:30,21106,35651,552,367
20170129,17:30,21106,50911,292,357
20170129,18:30,21106,31502,615,473
20170129,19:30,21106,36371,165,461
20170129,20:30,21106,25413,476,361
20170129,21:30,21106,62311,595,582
20170129,22:30,21106,26428073,126,603
20170129,23:30,21106,35851,552,285
20170130,0:30,21106,2411,570,617
20170130,1:30,21106,19982,618,617
20170130,2:30,21106,5162,426,288
20170130,3:30,21106,5161,495,395
20170130,4:30,21106,41402,522,385
20170130,5:21,21106,41403,227,402
20170130,6:21,21106,19983,268,319
20170130,7:30,21106,5163,188,251
20170130,8:30,21106,15840,152,260
20170130,9:30,21106,41392,176,488
20170130,10:30,21106,41401,541,507
20170130,11:30,21106,48813,423,361
20170130,12:30,21106,40681,234,405
20170130,13:30,21106,26742,522,545
20170130,14:30,21106,21452,541,339
20170130,15:30,21106,42113,515,545
20170130,16:30,21106,35233,289,406
20170130,17:30,21106,41283,289,233
20170130,18:30,21106,39801,597,473
20170130,19:30,21106,35232,597,440
20170130,20:30,21106,172547,546,445
20170130,21:30,21106,40522,200,537
20170130,22:30,21106,40462,309,514
20170130,23:30,21106,13392,591,490
20170131,0:30,21106,20982,393,622
20170131,1:30,21106,37441,435,599
20170131,2:30,21106,2053667,242,365
20170131,3:30,21106,2053629,130,593
20170131,4:30,21106,2053649,359,363
20170131,5:30,21106,369388,289,449
20170131,6:30,21106,16564,161,323
20170131,7:30,21106,33473,555,331
20170131,8:30,21106,8377,408,562
20170131,9:30,21106,22563,385,386
20170131,10:30,21106,38032,306,520
20170131,11:30,21106,2054448,521,634
20170131,12:30,21106,51471,578,387
20170131,13:30,21106,50171,442,272
20170131,14:30,21106,19682,616,616
20170131,15:30,21106,50822,626,597
20170131,16:30,21106,50172,298,309
20170131,17:30,21106,19683,227,530
20170201,18:30,21106,55983,449,484
20170201,19:30,21106,50072,251,402
20170201,20:30,21106,55732,415,607
20170201,21:30,21106,50842,544,329
20170201,22:30,21106,50292,401,274
20170202,0:30,21106,50211,172,322
20170202,1:30,21106,50823,400,317
20170202,2:30,21106,50821,514,253
20170202,3:30,21106,56582,335,630
20170202,4:30,21106,35413487,556,542
20170202,5:30,21106,13513,132,362
20170202,6:30,21106,12672,392,262
20170202,7:30,21106,10942,620,520
20170202,8:30,21106,50843,370,415
20170202,9:30,21106,50911,386,393
20170202,10:30,21106,55901,534,374
20170202,11:30,21106,37462,176,425
20170202,12:30,21106,6643,551,405
20170202,13:30,21106,6642,483,458
20170202,14:30,21106,27302,533,343
20170202,15:30,21106,55132,550,591
20170202,16:30,21106,23241,250,303
20170202,17:30,21106,39301,134,345
20170202,18:30,21106,23243,175,471
20170202,19:30,21106,722,144,308
20170202,20:30,21106,39302,452,231
20170202,21:30,21106,8393,431,419
20170202,22:30,21106,27131,165,335
20170202,23:00,21106,27132,450,617
20170202,23:30,21106,8482,547,248
20170203,0:30,21106,40983,153,386
20170203,2:30,21106,25493,135,250
20170203,3:30,21106,27851,284,246
20170203,4:30,21106,27852,212,507
20170203,5:30,21106,32292,370,487
20170203,6:30,21106,10063,167,248
20170203,8:30,21106,2331,251,295
20170203,9:21,21106,2333,513,550
20170203,10:30,21106,55853,292,426
20170203,11:30,21106,7323,631,238
20170203,12:30,21106,20371,163,576
20170203,13:30,21106,50212,263,285
20170203,14:30,21106,35752,563,487
20170203,15:30,21106,35751,492,253
20170203,16:30,21106,45691,170,331
20170203,17:30,21106,45578,325,472
20170203,18:30,21106,1972,230,468
20170203,19:30,21106,45578,290,272
20170203,20:30,21106,45577,534,531
20170203,21:30,21106,1971,265,465
20170203,22:30,21106,1971,179,483
20170204,0:30,21106,383018,512,277
20170204,1:30,21106,28051,594,528
20170204,3:30,21106,11352,615,249
20170204,4:30,21106,17591,394,323
20170204,5:30,21106,27213,485,615
20170204,6:30,21106,29403,645,554
20170204,7:30,21106,142543,556,618
20170204,8:30,21106,12953,262,539
20170204,9:30,21106,51871,413,456
20170204,10:30,21106,51872,337,436
20170204,11:30,21106,51792,411,399
20170204,12:30,21106,51891,378,349
20170204,13:30,21106,51883,385,646
20170204,14:30,21106,51803,349,413
20170204,15:30,21106,51712,306,245
20170204,16:30,21106,51711,559,311
20170204,17:30,21106,15122,337,353
20170204,18:30,21106,52003,536,543
20170204,19:30,21106,65352,520,307
20170204,20:30,21106,51742,620,403
20170204,21:30,21106,47803,451,453
20170204,22:30,21106,19829179,567,329
20170204,23:30,21106,13991,190,480
20170205,0:30,21106,32362,350,399
20170205,1:30,21106,39281,152,572
20170205,2:30,21106,39282,644,495
20170205,3:30,21106,314620,639,585
20170205,4:30,21106,22113,247,534
20170205,5:30,21106,22111,534,644
20170205,6:30,21106,35323,426,314
